Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
622547,0.62216,0.102895,9.873138,0.420000,-4.410000,1.190000
622557,0.47858,0.83752,9.880318,0.420000,-4.410000,1.190000
622567,0.57430,0.114860,9.882710,0.420000,-4.620000,1.260000
622577,0.69394,0.90931,9.865960,0.420000,-4.410000,1.190000
622587,0.93323,0.57430,9.870746,0.490000,-4.340000,1.260000
622597,0.55037,0.64609,9.853995,0.420000,-4.410000,1.330000
622607,0.71787,0.100502,9.865960,0.420000,-4.270000,1.330000
622617,0.88538,0.86145,9.846817,0.560000,-4.410000,1.260000
622628,0.47858,0.59823,9.899461,0.420000,-4.270000,1.190000
622638,0.57430,0.62216,9.865960,0.350000,-4.340000,1.330000
622648,0.98109,0.86145,9.887496,0.560000,-4.270000,1.260000
622658,0.52644,0.81359,9.909033,0.630000,-4.340000,1.190000
622668,0.64609,0.69394,9.920997,0.490000,-4.270000,1.190000
622678,0.76573,0.76573,9.865960,0.490000,-4.410000,1.260000
622688,0.86145,0.122038,9.882710,0.420000,-4.480000,1.190000
622698,0.78966,0.102895,9.887496,0.420000,-4.550000,1.190000
622709,0.62216,0.55037,9.892282,0.560000,-4.410000,1.190000
622719,0.78966,0.93323,9.875532,0.490000,-4.340000,1.190000
622729,0.50251,0.86145,9.873138,0.420000,-4.410000,1.260000
622739,0.95716,0.98109,9.870746,0.420000,-4.480000,1.260000
622749,0.74180,0.112467,9.889889,0.560000,-4.480000,1.120000
622759,0.64609,0.83752,9.889889,0.560000,-4.340000,1.190000
622769,0.38287,0.105288,9.827674,0.350000,-4.340000,1.260000
622779,0.62216,0.74180,9.887496,0.420000,-4.480000,1.190000
622790,0.78966,0.71787,9.849210,0.420000,-4.410000,1.190000
622800,0.59823,0.76573,9.875532,0.420000,-4.410000,1.190000
622810,0.64609,0.69394,9.897068,0.490000,-4.200000,1.120000
622820,0.69394,0.52644,9.863567,0.560000,-4.480000,1.190000
622830,0.33501,0.55037,9.882710,0.560000,-4.200000,1.190000
622840,0.47858,0.74180,9.842031,0.490000,-4.270000,1.190000
622850,0.43072,0.71787,9.904246,0.560000,-4.410000,1.190000
622860,0.50251,0.55037,9.899461,0.490000,-4.200000,1.260000
622871,0.74180,0.71787,9.885103,0.490000,-4.480000,1.260000
622881,0.57430,0.57430,9.875532,0.490000,-4.410000,1.330000
622891,0.55037,0.83752,9.897068,0.490000,-4.480000,1.260000
622901,0.47858,0.86145,9.885103,0.420000,-4.480000,1.260000
622911,0.59823,0.88538,9.851603,0.490000,-4.340000,1.190000
622921,0.93323,0.57430,9.861175,0.490000,-4.410000,1.260000
622931,0.69394,0.57430,9.911426,0.490000,-4.340000,1.260000
622941,0.90931,0.86145,9.870746,0.490000,-4.340000,1.260000
622952,0.71787,0.62216,9.846817,0.490000,-4.340000,1.190000
622962,0.74180,0.64609,9.894675,0.560000,-4.340000,1.190000
622972,0.86145,0.69394,9.846817,0.490000,-4.480000,1.260000
622982,0.47858,0.107681,9.892282,0.490000,-4.340000,1.190000
622992,0.78966,0.83752,9.913818,0.490000,-4.410000,1.190000
623002,0.35894,0.86145,9.889889,0.560000,-4.410000,1.190000
623012,0.74180,0.71787,9.894675,0.560000,-4.410000,1.260000
623022,0.35894,0.83752,9.889889,0.490000,-4.620000,1.190000
623033,0.52644,0.45465,9.892282,0.420000,-4.550000,1.260000
623043,0.59823,0.83752,9.885103,0.420000,-4.550000,1.260000
623053,0.98109,0.93323,9.861175,0.420000,-4.340000,1.190000
623063,0.78966,0.78966,9.863567,0.490000,-4.480000,1.120000
623073,0.62216,0.90931,9.916211,0.420000,-4.340000,1.260000
623083,0.83752,0.57430,9.868353,0.490000,-4.410000,1.190000
623093,0.67001,0.78966,9.909033,0.350000,-4.410000,1.260000
623103,0.88538,0.102895,9.894675,0.490000,-4.340000,1.260000
623114,0.86145,0.78966,9.911426,0.420000,-4.410000,1.260000
623124,0.55037,0.100502,9.861175,0.490000,-4.410000,1.260000
623134,0.76573,0.64609,9.880318,0.420000,-4.410000,1.120000
623144,0.40679,0.83752,9.889889,0.420000,-4.480000,1.330000
623154,0.38287,0.95716,9.846817,0.560000,-4.270000,1.260000
623164,0.107681,0.105288,9.861175,0.560000,-4.340000,1.260000
623174,0.78966,0.47858,9.885103,0.350000,-4.270000,1.260000
623184,0.78966,0.47858,9.870746,0.350000,-4.410000,1.260000
623195,0.83752,0.62216,9.909033,0.490000,-4.270000,1.260000
623205,0.59823,0.76573,9.889889,0.560000,-4.480000,1.260000
623215,0.45465,0.74180,9.892282,0.560000,-4.200000,1.190000
623225,0.76573,0.98109,9.865960,0.560000,-4.270000,1.190000
623235,0.78966,0.78966,9.892282,0.490000,-4.270000,1.190000
623245,0.71787,0.98109,9.856388,0.420000,-4.410000,1.260000
623255,0.78966,0.47858,9.918604,0.560000,-4.270000,1.260000
623265,0.40679,0.40679,9.865960,0.420000,-4.410000,1.260000
623276,0.71787,0.102895,9.894675,0.420000,-4.550000,1.120000
